2023-06-09 16:44:44.730 [info] Log level: Info
2023-06-09 16:44:44.730 [info] Validating found git in: "git"
2023-06-09 16:44:44.730 [info] Using git "2.34.1" from "git"
2023-06-09 16:44:44.730 [info] > git rev-parse --show-toplevel [31ms]
2023-06-09 16:44:44.730 [info] > git rev-parse --show-toplevel [2ms]
2023-06-09 16:44:44.731 [info] > git rev-parse --show-toplevel [2ms]
2023-06-09 16:44:44.731 [info] > git rev-parse --show-toplevel [1ms]
2023-06-09 16:44:44.731 [info] > git rev-parse --show-toplevel [2ms]
2023-06-09 16:44:44.731 [info] > git rev-parse --show-toplevel [13ms]
2023-06-09 16:44:44.731 [info] > git rev-parse --show-toplevel [1ms]
2023-06-09 16:45:10.244 [info] > git rev-parse --show-toplevel [5ms]
2023-06-09 16:51:33.157 [info] > git rev-parse --show-toplevel [125ms]
2023-06-09 16:52:29.936 [info] > git rev-parse --show-toplevel [59ms]
2023-06-09 16:53:23.689 [info] > git rev-parse --show-toplevel [12ms]
2023-06-09 16:59:49.854 [info] > git rev-parse --show-toplevel [3ms]
2023-06-09 17:01:30.293 [info] > git rev-parse --show-toplevel [4ms]
2023-06-09 17:08:39.620 [info] > git rev-parse --show-toplevel [11ms]
2023-06-09 17:09:59.183 [info] > git rev-parse --show-toplevel [9ms]
