2023-06-08 10:22:45.750 [info] Log level: Info
2023-06-08 10:22:45.750 [info] Validating found git in: "git"
2023-06-08 10:22:45.750 [info] Using git "2.34.1" from "git"
2023-06-08 10:22:45.750 [info] > git rev-parse --show-toplevel [13ms]
2023-06-08 10:22:45.750 [info] > git rev-parse --show-toplevel [2ms]
2023-06-08 10:22:45.750 [info] > git rev-parse --show-toplevel [1ms]
2023-06-08 10:22:45.750 [info] > git rev-parse --show-toplevel [2ms]
2023-06-08 10:22:45.750 [info] > git rev-parse --show-toplevel [2ms]
2023-06-08 10:23:15.271 [info] > git rev-parse --show-toplevel [19ms]
2023-06-08 10:23:22.083 [info] > git rev-parse --show-toplevel [8ms]
2023-06-08 10:24:40.712 [info] > git rev-parse --show-toplevel [19ms]
2023-06-08 10:24:44.513 [info] > git rev-parse --show-toplevel [12ms]
2023-06-08 10:26:41.779 [info] > git rev-parse --show-toplevel [1ms]
2023-06-08 10:26:46.839 [info] > git rev-parse --show-toplevel [2ms]
2023-06-08 10:27:31.833 [info] > git rev-parse --show-toplevel [4ms]
